43,53,18,1,2,25,27.264853,37.935776,0,0,0,6,753.970520
45,53,18,1,2,25,27.237766,37.867111,0,0,0,6,753.978027
46,53,18,1,2,25,27.251307,37.933868,0,0,0,4,753.970520
48,53,18,1,2,25,27.251307,37.981552,0,0,0,8,753.970520
50,53,18,1,2,25,27.278391,37.905258,0,0,0,5,753.970520
51,53,18,1,2,25,27.294636,37.907166,0,0,0,8,753.970520
53,53,18,1,2,25,27.294636,37.970108,0,0,0,3,753.970520
54,53,18,1,2,25,27.308182,37.956757,0,0,0,7,753.970520
56,53,18,1,2,25,27.294636,37.888092,0,0,0,8,754.015564
57,53,18,1,2,25,27.308182,37.956757,0,0,0,7,754.015564
59,53,18,1,2,25,27.308182,37.889999,0,0,0,5,754.015564
0,54,18,1,2,25,27.308182,37.876648,0,0,0,7,753.978027
2,54,18,1,2,25,27.321720,37.924332,0,0,0,6,753.978027
4,54,18,1,2,25,27.294636,37.855667,0,0,0,6,753.978027
5,54,18,1,2,25,27.294636,37.939590,0,0,0,6,753.963013
7,54,18,1,2,25,27.308182,39.377731,0,0,0,5,753.992981
8,54,18,1,2,25,27.294636,40.474457,0,0,0,7,754.000488
10,54,18,1,2,25,27.337963,41.901154,0,0,0,0,754.008057
11,54,18,1,2,25,27.337963,42.175812,0,0,0,8,754.015564
13,54,18,1,2,25,27.351511,42.192978,0,0,0,6,754.015564
14,54,18,1,2,25,27.351511,42.063278,0,0,0,7,754.015564
16,54,18,1,2,25,27.365049,41.758102,0,0,0,7,754.023010
17,54,18,1,2,25,27.351511,41.466278,0,0,0,8,754.023010
19,54,18,1,2,25,27.321720,40.865463,0,0,0,0,754.023010
20,54,18,1,2,25,27.351511,40.302795,0,0,0,5,754.023010
22,54,18,1,2,25,27.337963,39.846939,0,0,0,7,754.030518
23,54,18,1,2,25,27.351511,39.383453,0,0,0,6,754.030518
25,54,18,1,2,25,27.337963,39.040131,0,0,0,7,754.030518
27,54,18,1,2,25,27.351511,38.719696,0,0,0,6,754.030518
